uf,municipio,bairro,categoria_macro
ES,PINHEIROS,AGUA LIMPA,digital
ES,ITAGUACU,ITAIMBE,digital
ES,ECOPORANGA,VILA NOVA,digital
ES,VITORIA,BARRO VERMELHO,digital
ES,COLATINA,MARIO GIURIZATO,digital
ES,SERRA,JARDIM GUANABARA,digital
ES,PONTO BELO,CHAPISCO,digital
ES,SERRA,MATA DA SERRA,digital
ES,COLATINA,ANTONIO DAMIANI,digital
ES,ANCHIETA,JABAQUARA,digital
ES,VILA VELHA,JARDIM GUARANHUNS,digital
ES,CASTELO,ESTRELA DO NORTE,digital
ES,ANCHIETA,JARDIM ANCHIETA,digital
ES,VILA VELHA,ULISSES GUIMARAES,digital
ES,VILA VELHA,VISTA DA PENHA,digital
ES,CACHOEIRO DE ITAPEMIRIM,CORAMARA,digital
ES,SERRA,LARANJEIRAS VELHA,digital
ES,VIANA,PEROBAS,digital
ES,SERRA,PARQUE RESIDENCIAL MESTRE ALVARO,digital
ES,GOVERNADOR LINDENBERG,BARRA DE NOVO BRASIL,digital
ES,SERRA,CARAPINA,digital
ES,SERRA,BOA VISTA I,digital
ES,CARIACICA,NOVA ESPERANCA,digital
ES,GUARAPARI,MUQUICABA,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO BAMBE,digital
ES,SERRA,DIAMANTINA,digital
ES,LINHARES,BEBEDOURO,digital
ES,VILA VELHA,SAO CONRADO,digital
ES,PINHEIROS,NITEROI,digital
ES,MONTANHA,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,PITANGA,digital
ES,SERRA,SAO JUDAS TADEU,digital
ES,ANCHIETA,ANCHIETA,digital
ES,VARGEM ALTA,ARDSON,digital
ES,ARACRUZ,BARRA DO RIACHO,digital
ES,ANCHIETA,ALVORADA,digital
ES,CACHOEIRO DE ITAPEMIRIM,ITAOCA,digital
ES,MANTENOPOLIS,IRMAOS PAIZANTE,digital
ES,PINHEIROS,CANARIO,digital
ES,COLATINA,FIORAVANTE MARINO,digital
ES,SAO MATEUS,MORADA DO RIBEIRAO,digital
ES,GUARAPARI,SAMAMBAIA,digital
ES,CASTELO,MONTE ALVERNE,digital
ES,SERRA,CHACARA PARREIRAL,digital
ES,VITORIA,PARQUE INDUSTRIAL,digital
ES,ALFREDO CHAVES,CACHOEIRA ALTA,digital
ES,COLATINA,RESIDENCIAL NOBRE,digital
ES,SERRA,EURICO SALLES,digital
ES,ANCHIETA,PRAIA DE UBU,digital
ES,ANCHIETA,DOIS IRMAOS,digital
ES,CARIACICA,JARDIM CAMPO GRANDE,digital
ES,GUARAPARI,SANTA MONICA,digital
