fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,LINHARES,AVISO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,36.0,35_44,VIANA,MORADA DE VILA BETHANIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,28.0,25_34,VILA VELHA,JARDIM MARILANDIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,29.0,25_34,LINHARES,SANTA CRUZ,,
homicidios,violencia_social,1 - MASCULINO,PARDA,36.0,35_44,GUARAPARI,PEROCAO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,25.0,25_34,SANTA MARIA DE JETIBA,SAO LUIS,,
homicidios,violencia_social,1 - MASCULINO,PARDA,41.0,35_44,ARACRUZ,VILA DO RIACHO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,CARIACICA,PORTO BELO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,48.0,45_54,SERRA,SERRA DOURADA II,,
homicidios,violencia_social,2 - FEMININO,PARDA,20.0,18_24,CARIACICA,ROSA DA PENHA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,49.0,45_54,VILA VELHA,JARDIM MARILANDIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,24.0,18_24,MARILANDIA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,ANCHIETA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,39.0,35_44,JAGUARE,VARGEM GRANDE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,47.0,45_54,VILA VELHA,PRAIA DAS GAIVOTAS,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,34.0,25_34,VENDA NOVA DO IMIGRANTE,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,49.0,45_54,IBITIRAMA,ZONA RURAL,,
homicidios,violencia_social,2 - FEMININO,BRANCA,80.0,65_PLUS,GUARAPARI,SANTA MONICA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,VILA VELHA,RESIDENCIAL JABAETE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,PINHEIROS,VILA NOVA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,VIANA,IPANEMA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,CARIACICA,SANTA LUZIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,33.0,25_34,CONCEICAO DA BARRA,SAO JORGE,,
